dong,dongcode,total
가락1동,1124066,7403
가락2동,1124067,11593
가락본동,1124065,11621
가리봉동,1117070,10719
가산동,1118051,21462
가양1동,1116064,22586
가양2동,1116065,7346
가양3동,1116066,7816
가회동,1101060,2448
갈현1동,1112055,11482
갈현2동,1112056,13202
강일동,1125051,11646
개봉1동,1117072,15485
개봉2동,1117064,12901
개봉3동,1117065,9069
개포1동,1123068,1514
개포2동,1123080,8879
개포4동,1123071,8068
거여1동,1124053,5640
거여2동,1124054,9803
고덕1동,1125055,8593
고덕2동,1125056,9160
고척1동,1117061,9799
고척2동,1117062,11965
공덕동,1114077,19399
공릉1동,1111079,18976
공릉2동,1111056,16098
공항동,1116069,11883
광장동,1105063,11420
광희동,1102059,3141
교남동,1101058,4611
구로1동,1117052,7643
구로2동,1117071,19501
구로3동,1117054,13178
구로4동,1117055,13670
구로5동,1117056,17659
구산동,1112057,13552
구의1동,1105060,13783
구의2동,1105061,11998
구의3동,1105062,11959
군자동,1105054,13285
금호1가동,1104059,6822
금호2.3가동,1104072,9944
금호4가동,1104062,6288
길동,1125074,21574
길음1동,1108066,11808
길음2동,1108068,5612
낙성대동,1121058,12122
난곡동,1121081,14347
난향동,1121071,6568
남가좌1동,1113069,5436
남가좌2동,1113070,14098
남영동,1103053,3978
남현동,1121063,10517
내곡동,1122068,7194
노량진1동,1120072,18709
노량진2동,1120052,9244
녹번동,1112051,17596
논현1동,1123052,18062
논현2동,1123053,13549
능동,1105059,7031
다산동,1102070,7435
답십리1동,1106091,15370
답십리2동,1106086,11687
당산1동,1119055,16574
당산2동,1119056,13916
대림1동,1119070,9806
대림2동,1119071,13956
대림3동,1119072,14917
대방동,1120068,18328
대조동,1112058,15746
대치1동,1123060,6385
대치2동,1123079,11912
대치4동,1123063,12969
대학동,1121073,15967
대흥동,1114060,14787
도곡1동,1123066,8106
도곡2동,1123067,10761
도림동,1119075,12096
도봉1동,1110064,10730
도봉2동,1110065,11108
도화동,1114075,12181
독산1동,1118052,24364
독산2동,1118053,11054
독산3동,1118054,16037
독산4동,1118055,9238
돈암1동,1108058,6279
돈암2동,1108059,5844
동선동,1108083,11006
동화동,1102073,4240
둔촌1동,1125070,6
둔촌2동,1125071,10383
등촌1동,1116052,13192
등촌2동,1116053,9301
등촌3동,1116054,15808
마장동,1104054,11234
마천1동,1124055,8591
마천2동,1124056,8557
망우3동,1107068,8640
망우본동,1107073,15699
망원1동,1114069,11211
망원2동,1114070,9128
면목2동,1107052,13441
면목3.8동,1107072,13204
면목4동,1107054,9437
면목5동,1107055,6604
면목7동,1107057,11000
면목본동,1107071,18199
명동,1102055,3015
명일1동,1125053,10785
명일2동,1125054,5334
목1동,1115051,11387
목2동,1115052,13956
목3동,1115053,10642
목4동,1115054,10940
목5동,1115071,13833
무악동,1101057,3057
묵1동,1107064,14331
묵2동,1107065,9604
문래동,1119076,12653
문정1동,1124068,8549
문정2동,1124069,4609
미성동,1121083,15164
미아동,1109070,12467
반포1동,1122057,14644
반포2동,1122058,3062
반포3동,1122059,2010
반포4동,1122060,8029
반포본동,1122056,3912
발산1동,1116067,11762
방배1동,1122062,8572
방배2동,1122063,9117
방배3동,1122064,8594
방배4동,1122065,11001
방배본동,1122061,8594
방이1동,1124057,6196
방이2동,1124058,16278
방학1동,1110055,13684
방학2동,1110056,9694
방학3동,1110057,10213
방화1동,1116070,12973
방화2동,1116071,13251
방화3동,1116072,11159
번1동,1109060,11475
번2동,1109061,7478
번3동,1109062,7118
보광동,1103070,8122
보라매동,1121052,13857
보문동,1108061,8235
부암동,1101055,2068
북가좌1동,1113071,6832
북가좌2동,1113072,15060
북아현동,1113074,7513
불광1동,1112052,14036
불광2동,1112072,18959
사근동,1104055,5421
사당1동,1120063,20326
사당2동,1120073,7392
사당3동,1120065,11280
사당4동,1120066,7579
사당5동,1120067,6870
사직동,1101053,6998
삼각산동,1109073,11417
삼선동,1108082,13666
삼성1동,1123058,6370
삼성2동,1123059,14950
삼성동,1121082,10678
삼양동,1109069,10707
삼전동,1124064,16677
삼청동,1101054,1647
상계10동,1111074,6265
상계1동,1111065,14597
상계2동,1111066,9076
상계3.4동,1111076,12270
상계5동,1111069,8787
상계6.7동,1111077,11462
상계8동,1111072,6949
상계9동,1111073,6672
상도1동,1120053,22961
상도2동,1120054,14233
상도3동,1120055,12065
상도4동,1120056,14176
상봉1동,1107059,10151
상봉2동,1107060,12950
상암동,1114074,12083
상일동,1125052,13373
서강동,1114076,14527
서교동,1114066,22881
서림동,1121066,14251
서빙고동,1103069,5540
서원동,1121064,15709
서초1동,1122051,10044
서초2동,1122052,13218
서초3동,1122053,17855
서초4동,1122054,10586
석관동,1108085,18037
석촌동,1124063,17574
성내1동,1125065,8462
성내2동,1125066,13288
성내3동,1125067,11309
성북동,1108081,8459
성산1동,1114072,10643
성산2동,1114073,18454
성수1가1동,1104065,7650
성수1가2동,1104066,7371
성수2가1동,1104067,8646
성수2가3동,1104068,5998
성현동,1121079,12320
세곡동,1123076,13422
소공동,1102052,2969
송정동,1104069,6190
송중동,1109071,14468
송천동,1109072,13420
송파1동,1124061,13064
송파2동,1124062,6923
수궁동,1117069,10201
수색동,1112068,5417
수서동,1123075,7661
수유1동,1109063,10971
수유2동,1109064,9911
수유3동,1109065,14018
숭인1동,1101070,2838
숭인2동,1101071,7492
시흥1동,1118057,18010
시흥2동,1118058,8254
시흥3동,1118059,5519
시흥4동,1118060,10087
시흥5동,1118061,10049
신길1동,1119063,12561
신길3동,1119065,9350
신길4동,1119066,6614
신길5동,1119067,6187
신길6동,1119068,10301
신길7동,1119069,8461
신내1동,1107069,14015
신내2동,1107070,7559
신당5동,1102065,5475
신당동,1102069,7794
신대방1동,1120069,12367
신대방2동,1120070,11801
신도림동,1117051,13876
신림동,1121069,19044
신사1동,1112065,12366
신사2동,1112066,9492
신사동,1121068,16771
신사동,1123051,7763
신수동,1114063,8397
신원동,1121065,12610
신월1동,1115057,11418
신월2동,1115058,8455
신월3동,1115059,8978
신월4동,1115060,6890
신월5동,1115061,6914
신월6동,1115062,5223
신월7동,1115063,8499
신정1동,1115064,7073
신정2동,1115065,7610
신정3동,1115066,16457
